date,Midwest,National,Northeast,South,West,date_period
2023-11-18,6.629931964264177,5.234065439265072,4.406825488706284,3.635995928877021,6.083448893618835,All Results
2023-11-18,6.629931964264177,5.234065439265072,4.406825488706284,3.635995928877021,6.083448893618835,1 Year
2023-11-25,8.081834065506587,5.9461344923293,5.897046049322929,3.7114660887032924,5.377990962311242,All Results
2023-11-25,8.081834065506587,5.9461344923293,5.897046049322929,3.7114660887032924,5.377990962311242,1 Year
2023-12-02,10.88665060478437,7.551099470955711,6.661392265248704,5.62552455432858,6.576505699920335,All Results
2023-12-02,10.88665060478437,7.551099470955711,6.661392265248704,5.62552455432858,6.576505699920335,1 Year
2023-12-09,11.205648014161946,8.579611677511679,8.45412471196134,5.900493926472899,7.463447808964883,All Results
2023-12-09,11.205648014161946,8.579611677511679,8.45412471196134,5.900493926472899,7.463447808964883,1 Year
2023-12-16,12.154282252443922,9.706204999520299,10.425327570413245,7.2639137589631595,7.596313577823802,All Results
2023-12-16,12.154282252443922,9.706204999520299,10.425327570413245,7.2639137589631595,7.596313577823802,1 Year
2023-12-23,12.485180791336546,11.338205199943935,10.805867981458796,10.287101916739879,11.208890105427969,All Results
2023-12-23,12.485180791336546,11.338205199943935,10.805867981458796,10.287101916739879,11.208890105427969,1 Year
2023-12-30,15.041326370182588,13.426612343006465,12.929728642088524,12.98678838625147,12.257226896683356,All Results
2023-12-30,15.041326370182588,13.426612343006465,12.929728642088524,12.98678838625147,12.257226896683356,1 Year
2024-01-06,12.468824355006952,12.602657693837138,12.186705307693499,12.539754001964601,13.643099639832045,All Results
2024-01-06,12.468824355006952,12.602657693837138,12.186705307693499,12.539754001964601,13.643099639832045,1 Year
2024-01-13,11.066461228798754,10.151105972389214,9.378080346416656,10.3699923153957,9.701361455147122,All Results
2024-01-13,11.066461228798754,10.151105972389214,9.378080346416656,10.3699923153957,9.701361455147122,1 Year
2024-01-20,7.802990569179235,8.363850738642606,7.852371630062551,9.348648987773736,8.996004566259693,All Results
2024-01-20,7.802990569179235,8.363850738642606,7.852371630062551,9.348648987773736,8.996004566259693,1 Year
2024-01-27,7.119584275859155,8.15791195288097,8.393805064078222,10.953293144918169,7.957350804330148,All Results
2024-01-27,7.119584275859155,8.15791195288097,8.393805064078222,10.953293144918169,7.957350804330148,1 Year
2024-02-03,6.37041771200914,7.019405532208694,6.4383856651729126,10.048914339094566,6.816338609595187,All Results
2024-02-03,6.37041771200914,7.019405532208694,6.4383856651729126,10.048914339094566,6.816338609595187,1 Year
2024-02-10,6.791036727762096,6.953178308804942,5.7017531929473595,9.362877877039136,6.630443962751051,All Results
2024-02-10,6.791036727762096,6.953178308804942,5.7017531929473595,9.362877877039136,6.630443962751051,1 Year
2024-02-17,7.229755736297793,6.552185867668914,5.492529422851752,8.932921674184477,5.697578404357998,All Results
2024-02-17,7.229755736297793,6.552185867668914,5.492529422851752,8.932921674184477,5.697578404357998,1 Year
2024-02-24,6.543737109924413,5.964976570074915,4.3058141228994335,8.817641910813363,4.722943653822288,All Results
2024-02-24,6.543737109924413,5.964976570074915,4.3058141228994335,8.817641910813363,4.722943653822288,1 Year
2024-03-02,6.263634189942963,4.935880347974075,3.577327224225451,7.220137264242391,3.5432182853031975,All Results
2024-03-02,6.263634189942963,4.935880347974075,3.577327224225451,7.220137264242391,3.5432182853031975,1 Year
2024-03-09,4.701278619755595,4.062828323893268,2.279371892832998,5.1835177428913255,3.2061219480148937,All Results
2024-03-09,4.701278619755595,4.062828323893268,2.279371892832998,5.1835177428913255,3.2061219480148937,1 Year
2024-03-16,3.1952904507777298,2.9234374035800426,1.6925591826859034,3.8970494782418355,2.5022629742156774,All Results
2024-03-16,3.1952904507777298,2.9234374035800426,1.6925591826859034,3.8970494782418355,2.5022629742156774,1 Year
2024-03-23,2.7045931694333283,2.518054484127927,1.7826466252270308,3.0887601804508993,2.2718444096347756,All Results
2024-03-23,2.7045931694333283,2.518054484127927,1.7826466252270308,3.0887601804508993,2.2718444096347756,1 Year
2024-03-30,2.6747664615632694,2.36132726554885,1.6965179031637887,2.685406628549082,1.618425590461163,All Results
2024-03-30,2.6747664615632694,2.36132726554885,1.6965179031637887,2.685406628549082,1.618425590461163,1 Year
