Date,Midwest,National,Northeast,South,West
5/21/22,6.969555320921522,6.718718118607892,7.281913030231275,6.277843712910468,6.028034045618584
5/28/22,7.265761119034902,7.143881931,6.617413716863831,6.8822237782030875,8.436775132778642
6/4/22,6.882122310131369,7.239828464946157,4.419682899139588,6.984440683658172,10.276050641261858
6/11/22,6.649293939734129,6.752891525772694,3.038041052210632,6.447990560040877,9.939501927713158
6/18/22,6.407392287749931,6.653377761104894,4.455739223728285,5.826518686057539,9.515484596987786
6/25/22,6.818424335755163,7.2177121781219675,3.2198094428833093,6.231397556300024,11.059573537572131
7/2/22,7.540312261880711,7.921226750214789,4.314989241125077,6.347146266753201,12.192318765074697
7/9/22,9.487531436224664,9.283902982480909,5.111021588026128,8.258226498663921,12.50993786436033
7/16/22,8.694269987980618,9.074275273238541,5.758972929322409,9.219803699052214,11.037505849345925
7/23/22,9.621476219903787,9.557068258733565,6.842072021401501,9.503478290766331,11.144027635059427
7/30/22,10.119601734157552,8.861697207269476,5.125393164811783,8.693203767961982,9.386507826756008
8/6/22,9.878898381,7.922815336532309,5.278755332183917,8.481160328,7.157123327271328
8/13/22,9.127360097981189,7.218275056406494,6.242490437475025,7.155017529073593,6.223131395
8/20/22,8.432088112170915,6.813667893675362,5.8834208234251255,6.460795343025026,5.601574824
8/27/22,7.906733679499281,6.563012660360868,6.0257327577063675,6.623400661696164,5.464180242516084
9/3/22,6.537983323,5.874885767937745,5.4261708956783075,6.284767749822684,4.832970448626117
9/10/22,6.316172630193777,5.561184611471148,6.042742334017712,5.920218058039955,4.4930967097326775
9/17/22,5.735316015955128,5.159891281075399,6.6480713756678105,4.918244537366946,4.462281707480261
9/24/22,4.274949412335341,4.614793830424295,4.738402720899522,4.727034937085796,4.956436009892429
10/1/22,3.6188316173749024,3.7419831888031876,6.408322126385128,2.460461372476355,4.0627966015218355
10/8/22,4.1041054900553835,3.559121449,5.0594872297472335,2.109555777710762,3.7220181964983223
